Cohasset 	Town 	Norfolk 	Open town meeting 	8,381 	31.4 	9.8 	1775 	
Colrain 	Town 	Franklin 	Open town meeting 	1,606 	43.4 	43.1 	1761 	
Concord 	Town 	Middlesex 	Open town meeting 	18,491 	25.9 	24.9 	1635 	
Conway 	Town 	Franklin 	Open town meeting 	1,761 	37.9 	37.7 	1775 	
Cummington 	Town 	Hampshire 	Open town meeting 	829 	23.1 	22.9 	1779 	
Dalton 	Town 	Berkshire 	Open town meeting 	6,330 	21.9 	21.8 	1784 	
Danvers 	Town 	Essex 	Representative town meeting 	28,087 	14.1 	13.3 	1775 	
Dartmouth 	Town 	Bristol 	Representative town meeting 	33,783 	97.5 	60.9 	1664 	
Dedham † 	Town 	Norfolk 	Representative town meeting 	25,364 	10.6 	10.5 	1636 	
Deerfield 	Town 	Franklin 	Open town meeting 	5,090 	33.4 	32.4 	1677 	
Dennis 	Town 	Barnstable 	Open town meeting 	14,674 	22.3 	20.5 	1793 	
Dighton 	Town 	Bristol 	Open town meeting 	8,101 	22.6 	22.0 	1712 	
Douglas 	Town 	Worcester 	Open town meeting 	8,983 	37.7 	36.4 	1775 	
Dover 	Town 	Norfolk 	Open town meeting 	5,923 	15.4 	15.3 	1836 	
Dracut 	Town 	Middlesex 	Open town meeting 	32,617 	21.4 	20.9 	1701 	
Dudley 	Town 	Worcester 	Open town meeting 	11,921 	22.1 	21.1 	1732 	
Dunstable 	Town 	Middlesex 	Open town meeting 	3,358 	16.7 	16.6 	1673 	
Duxbury 	Town 	Plymouth 	Open town meeting 	16,090 	37.6 	23.8 	1637 	
East Bridgewater 	Town 	Plymouth 	Open town meeting 	14,440 	17.5 	17.2 	1823 	
East Brookfield 	Town 	Worcester 	Open town meeting 	2,224 	10.4 	9.8 	1920 	
East Longmeadow 	City 	Hampden 	Manager-Council 	16,430 	13.0 	13.0 	1894 	
Eastham 	Town 	Barnstable 	Open town meeting 	5,752 	25.7 	14.0 	1646 	
Easthampton 	City 	Hampshire 	Mayor-council 	16,211 	13.6 	13.3 	1809 	
Easton 	Town 	Bristol 	Open town meeting 	25,058 	29.2 	28.4 	1725 	
Edgartown † 	Town 	Dukes 	Open town meeting 	5,168 	122.7 	27 	1671 	
Egremont 	Town 	Berkshire 	Open town meeting 	1,372 	18.9 	18.7 	1775 	
Erving 	Town 	Franklin 	Open town meeting 	1,665 	14.4 	13.9 	1838 	
Essex 	Town 	Essex 	Open town meeting 	3,675 	15.9 	14 	1819 	
Everett 	City 	Middlesex 	Mayor-council 	49,075 	3.7 	3.4 	1870 	
Fairhaven 	Town 	Bristol 	Representative town meeting 	15,924 	14.1 	12.4 	1812 	
Fall River 	City 	Bristol 	Mayor-council 	94,000 	40.2 	33.1 	1803 	
Falmouth 	Town 	Barnstable 	Representative town meeting 	32,517 	54.4 	44.1 	1686 	
Fitchburg 	City 	Worcester 	Mayor-council 	41,946 	28.1 	27.8 	1764 	
Florida 	Town 	Berkshire 	Open town meeting 	694 	24.6 	24.4 	1805 	
Foxborough 	Town 	Norfolk 	Open town meeting 	18,618 	20.9 	20.1 	1778 	
Framingham 	City 	Middlesex 	Mayor-council 	72,362 	26.5 	25.0 	1700 	
Franklin 	City[4] 	Norfolk 	Council-administrator 	32,261 	27.0 	26.6 	1778 	Although it is a city, the official name is Town of Franklin
Freetown 	Town 	Bristol 	Open town meeting 	9,206 	38.3 	36.6 	1683 	
Gardner 	City 	Worcester 	Mayor-council 	21,287 	23.0 	22.1 	1785 	
