Abrothallus 	cetrariae 
Peltigera canina	P. didactyla
Peltigera canina	P. canina
Peltigera didactyla	P. extenuata
Peltigera dolichorrhiza	P. polydactylon
Peltigera erumpens	P. didactyla
Peltigera plittii	P. canina
Peltigera polydactyla	P. polydactylon
Peltigera pulverulenta	P. scabrosa
Peltigera scutata	P. collina,
Peltigera sorediata	P. didactyla
Peltigera spuria	P. didactyla
Peltigera zopfii	P. horizontalis
Pertusaria albescens	Lepra albescens,
Pertusaria amara	Lepra amara
Pertusaria arborea	Ochrolechia arborea
Pertusaria bryophaga	Ochrolechia bryophaga
Pertusaria ceuthocarpa	Lepra excludens
Pertusaria communis	P. pertusa,
Pertusaria communis	P. pertusa,
Pertusaria commutata	Lepra commutata,
Pertusaria dactylina	Lepra dactylina
Pertusaria excludens	Lepra excludens
Pertusaria finkii	P. rhexostoma
Pertusaria geminipara	Toensbergia geminipara
Pertusaria globulifera	Lepra albescens,
Pertusaria hypothamnolica	Lepra hypothamnolica,
Pertusaria laevigata	Variolaria trachythallina
Pertusaria leioterella	P. macounii
Pertusaria leucostoma	P. leioplaca
Pertusaria marginata	P. propinqua
Pertusaria multipunctoides	Lepra multipunctoides
Pertusaria ophthalmiza	Lepra ophthalmiza
Pertusaria rupestris	P. pertusa,
Pertusaria scutellaris	Lepra albescens,
Pertusaria subdactylina	Lepra subdactylina
Pertusaria torquata	P. propinqua
Pertusaria trachythallina	Lepra trachythallina
Pertusaria velata	Varicellaria velata
Pertusaria waghornei	Lepra waghornei
Pertusaria wulfenii	P. hymenea,
Phacopsis oxyspora	Nesolechia oxyspora
Phacotiella microcephala	Sphinctrina anglica
Phaeographis eulectra	Graphis eulectra
Phaeophyscia cernohorskyi	P. hirsuta
Phaeophyscia chloantha	Physciella chloantha
Phaeophyscia imbricata	P. squarrosa
Phaeophyscia melanchra	Physciella melanchra
Phaeopyxis punctum	Bachmanniomyces punctum
Phaeosporobolus alpinus	Lichenostigma alpinum
Phaeosporobolus usneae	Lichenostigma maureri
Pharcidia parva	Stigmidium parvum
Phoma lobariae	Abrothallus lobariae
Physcia adglutinata	Hyperphyscia adglutinata
Physcia adglutinata	Hyperphyscia adglutinata
Physcia adiastola	Phaeophyscia adiastola
Physcia aipolia	P. alnophila
Physcia aquila	Anaptychia runcinata,
Physcia aquila	Anaptychia palmulata
Physcia ascendens	P. adscendens
Physcia astroidea	P. clementei,
Physcia cernohorskyi	Phaeophyscia cernohorskyi
Physcia chrysophthalma	Teloschistes chrysophthalmus
Physcia ciliaris	Anaptychia ciliaris,
Physcia ciliaris	Anaptychia crinalis,
Physcia ciliata	Phaeophyscia ciliata
Physcia comosa	Heterodermia comosa,
Physcia detersa	Physconia detersa
Physcia endochrysea	Hyperphyscia endochrysea
Physcia endococcina	Phaeophyscia endococcina,
Physcia enteroxantha	Physconia enteroxantha
Physcia granulifera	Heterodermia granulifera
Physcia grisea	Physconia grisea,
Physcia hirsuta	Phaeophyscia hirsuta
Physcia hispida	P. tenella,
Physcia hispidula	Phaeophyscia hispidula
Physcia hypoleuca	Heterodermia hypoleuca
Physcia imbricata	Phaeophyscia squarrosa
Physcia kairamoi	Phaeophyscia kairamoi
Physcia leucoleiptes	Physconia leucoleiptes
Physcia leucomela	Heterodermia leucomela
Physcia lithotea	Phaeophyscia sciastra
Physcia lithotodes	Phaeophyscia endococcina,
Physcia luganensis	Physciella chloantha
Physcia obscura	Phaeophyscia ciliata
Physcia obscura	Phaeophyscia endococcina,
Physcia orbicularis	Phaeophyscia orbicularis
Physcia orbicularis	Phaeophyscia rubropulchra
Physcia pityrea	Physconia grisea
Physcia pulverulenta	Physconia distorta,
Physcia pulverulenta	Physconia leucoleiptes
Physcia pusilloides	Phaeophyscia pusilloides
Physcia rubropulchra	Phaeophyscia rubropulchra
Physcia sciastra	Phaeophyscia sciastra
Physcia semipinnata	P. leptalea
Physcia setosa	Phaeophyscia hispidula
Physcia sorediata	Pyxine sorediata
Physcia speciosa	Heterodermia speciosa
Physcia stellaris	Physcia aipolia
Physcia stellaris	Physcia leptalea
Physcia syncolla	Hyperphyscia syncolla
Physcia teretiuscula	P. dubia
Physcia virella	Phaeophyscia orbicularis,
Physciopsis adglutinata	Hyperphyscia adglutinata
Physciopsis elaeina	Hyperphyscia adglutinata
Physciopsis syncolla	Hyperphyscia syncolla
Physconia kurokawae	P. leucoleiptes
Physconia pulverulenta	P. distorta,
Physma luridum	Pannaria lurida
Pilophorus cereolus	Pilophorus acicularis
Pilophorus cereolus	Pilophorus fibula
Placidium tuckermanii	P. arboreum
Placodium aurantiacum	Gyalolechia flavorubescens
Placodium aurantiacum	Gyalolechia flavovirescens
Placodium camptidium	Caloplaca camptidia
Placodium cerinum	Caloplaca cerina
Placodium cerinum	Caloplaca sideritis
Placodium cerinum	Caloplaca cerina
Placodium cinnabarinum	Caloplaca cinnabarina,
Placodium cirrochroum	Leproplaca cirrochroa
Placodium citrinum	Flavoplaca citrina
Placodium elegans	Rusavskia elegans
Placodium ferrugineum	Blastenia ferruginea,
Placodium ferrugineum	Gyalolechia xanthostigmoidea
Placodium ferrugineum	Caloplaca pollinii
Placodium microphyllinum	Caloplaca microphyllina
Placodium murorum	Caloplaca saxicola
Placodium pyracea	Athallia pyracea
Placodium rupestre	Protoblastenia rupestris
Placodium sideritis	Caloplaca sideritis
Placodium vitellinum	Candelariella vitellina
Placodium vitellinum	Candelariella aurella
Placynthium nigrum	Placynthium tantaleum
Plagiocarpa hyalospora	Lithothelium hyalosporum
Platygrapha periclea	Schismatomma pericleum
Platysma fendleri	Nephromopsis fendleri
Platysma glaucum	Platismatia glauca
Platysma hepatizon	Melanelia hepatizon
Platysma lacunosum	Platismatia lacunosa
Platysma oakesianum	Usnocetraria oakesiana
Polyblastia cruenta	Sporodictyon cruentum
Polyblastia gelatinosa	Agonimia gelatinosa
Polyblastia lactea	Julella lactea
Polyblastidium hypoleucum	Heterodermia hypoleuca
Polyblastiopsis fallaciosa	Julella fallaciosa
Polyblastiopsis lactea	Julella lactea
Polychidium intricatulum	Dendriscocaulon intricatulum
Polychidium umhausense	Dendriscocaulon umhausense,
Polysporina cyclocarpa	Sarcogyne cyclocarpa
Polysporina simplex	Acarospora privigna
Polysporina subfuscescens	Acarospora subfuscescens
Porina cestrensis	Pseudosagedia cestrensis
Porina faginea	Strigula stigmatella
Porina lectissima	Segestria lectissima
Porina leptalea	Segestria leptalea
Porina rhaphidosperma	Pseudosagedia rhaphidosperma
Porocyphus furfurellus	P. coccodes
Porpidia diversa	P. contraponenda
Porpidia flavocaerulescens	P. flavicunda
Porpidia glaucophaea	P. rugosa
Porpidia herteliana	P. cinereoatra
Porpidia pseudomelinodes	Porpidia ochrolemma
Porpidia tahawasiana	P. subsimplex
Pronectria anisospora	Trichonectria anisospora
Protoblastenia monticola	Clauzadea monticola
Protoblastenia ochracea	Clauzadea monticola
Pseudocyphellaria aurata	Crocodia aurata
Pseudocyphellaria mougeotiana	P. crocata,
Pseudocyphellaria perpetua	P. hawaiiensis,
Pseudoparmelia baltimorensis	Flavoparmelia baltimorensis
Pseudoparmelia caperata	Flavoparmelia caperata
Pseudophyscia aquila	Anaptychia runcinata
Pseudophyscia hypoleuca	Heterodermia hypoleuca
Pseudophyscia speciosa	Heterodermia speciosa
Psora demissa	Lecidoma demissum
Pyrenocollema halodytes	Collemopsidium halodytes
Pyrenocollema sublitorale	Collemopsidium sublitorale
Pyrenopsis furfurella	Porocyphus coccodes
Pyrenopsis phylliscina	Cryptothele permiscens
Pyrenopsis schaereri	Psorotichia schaereri
Pyrenothmnia spraguei	Staurothele pulvinata
Pyrenula biformis	Anisomeridium biforme
Pyrenula cinerella	Pyrenula cinerella
Pyrenula endococcoidea	Phaeospora rimosicola
Pyrenula epidermidis	Leptorhaphis epidermidis
Pyrenula fallaciosa	Julella fallaciosa
Pyrenula farrea	Leptorhaphis epidermidis
Pyrenula gemmata	Acrocordia gemmata
Pyrenula gemmata	Arthopyrenia finkii
Pyrenula gemmifera	Tichothecium gemmiferum
Pyrenula glabrata	P. laevigata
Pyrenula hyalospora	Lithothelium hyalosporum
Pyrenula imperfecta	P. subelliptica
Pyrenula lactea	Julella lactea
Pyrenula leucochlora	Arthopyrenia leucochlora
Pyrenula leucoplaca	Eopyrenula leucoplaca,
Pyrenula lucifera	P.dermatodes 
Pyrenula neglecta	P. pseudobufonia
Pyrenula oblongata	Microthelia oblongata
Pyrenula plittii	P. nitidula
Pyrenula punctiformis	Naetrocybe punctiformis
Pyrenula punctiformis	Arthopyrenia fallax
Pyrenula rhyponta	Naetrocymbe rhyponta
Pyrenula staurospora	Sulcopyrenula staurospora
Pyrenula thelena	Bogoriella thelena,
Pyrenula willeyana	Microthelia willeyana
Pyrenulella endococcoidea	Phaeospora rimosicola
Pyrrhospora cinnabarina	Ramboldia cinnabarina
Pyrrhospora elabens	Ramboldia elabens
Pyrrhospora russula	Ramboldia russula
Pyrrhospora varians	Lecidea varians
Pyxine cocoes	Pyxine sorediata
Pyxine frostii	Dirinaria frostii
Ramalina canaliculata	R. calicaris,
Ramalina minuscula	R. dilacerata
Ramalina pollinariella	R. roesleri
Ramalina pusilla	R. dilacerata
Ramalina reagens	R. farinacea
Ramalina rigida	R. willeyi
Rhizocarpon albineum	R. obscuratum,
Rhizocarpon alboatrum	Diplotomma alboatrum
Rhizocarpon applanatum	R. badioatrum
Rhizocarpon chionophilum	R. alpicola
Rhizocarpon colludens	Rhizocarpon hochstetteri
Rhizocarpon concentricum	R. petraeum
Rhizocarpon confervoides	R. richardii
Rhizocarpon infernulum	R. sylvaticum
Rhizocarpon intermedium	R. eupetraeum
Rhizocarpon massalongoi	R. hochstetteri
Rhizocarpon oreites	R. alpicola
Rimelia reticulata	Parmotrema reticulatum
Rimularia caeca	Lambiella caeca
Rimularia furvella	Lambiella furvella
Rimularia gyrizans	Lambiella gyrizans
Rimularia impavida	Lambiella impavida
Rinodina adirondackii	R. tenuis
Rinodina annulata	R. subminuta
Rinodina constans	Maronea constans,
Rinodina dakotensis	Amandinea dakotensis
Rinodina degeliana	R. subpariata
Rinodina destituta	R. moziana
Rinodina erumpens	R. subminuta
Rinodina farinosa	R. efflorescens
Rinodina glauca	R. freyi
Rinodina lignicola	R. archaea,
Rinodina magnussonii	R. freyi
Rinodina milliaria	Amandinea milliaria
Rinodina orbata	R. turfacea
Rinodina oreina	Dimelaena oreina
Rinodina palustris	R. populicola
Rinodina salina	R. gennarii
Sagedia cestrensis	Pseudosagedia cestrensis
Sagedia cestrensis	Pseudosagedia cestrensis
Sagedia chlorotica	Pseudosagedia chlorotica
Sagedia lactea	Porina faginea
Sagedia oxyspora	Leptorhaphis epidermidis
Santessoniella crossophylla	Rockefellera crossophylla
Sarcogyne privigna	Acarospora privigna,
Sarcogyne pruinosa	S. regularis
Sarcogyne simplex	Polysporina simplex
Schaereria endocyanea	S. fuscocinerea
Schaereria tenebrosa	S. fuscocinerea
Schismatomma abietinum	S. pericleum
Silobia smaragdula	Myriospora smaragdula
Solorina despreauxii	Heppia despreauxii
Sphaerophorus coralloides	S. globosus
Sphaerophorus globiferus	S. globosus
Sphaerophorus globosus	S. tuckermanii
Sphinctrina gelasinata	S. turbinata
Sphinctrina microcephala	S. anglica
Staurothele diffractella	Willeya diffractella
Staurothele umbrina	S. fissa
Stenocybe byssacea	S. pullatula
Stenocybe euspora	S. major
Stenocybe minutissima	Phaeocalicium minutissimum
Stereocaulon coralloides	S. dactylophyllum
Stereocaulon denudatum	S. vesuvianum,
Stereocaulon evolutoides	S. saxatile
Stereocaulon tomentosum	Stereocaulon alpinum
Sticta amplissima	Ricasolia amplissima
Sticta anthraspis	Lobaria anthraspis,
Sticta aurata	Crocodia aurata
Sticta crocata	Pseudocyphellaria crocata,
Sticta linita	Lobaria linita,
Sticta pulmonacea	Lobaria pulmonaria
Sticta pulmonaria	Lobaria pulmonaria
Sticta quercizans	Ricasolia quercizans
Sticta scrobiculata	Lobaria scrobiculata
Sticta verrucosa	Lobaria scrobiculata
Stictina crocata	Pseudocyphellaria crocata
Stictis fulva	Propolis farinosa
Stictis pallida	Cryptodiscus pallidus
Stictis rufa	Agyrium rufum
Stigmidium pumilum	Sphaerellothecium pumilum
Strigula affinis	S. jamesii
Synalissa phaeococca	Pyrenopsis phaeococca
Synalissa phylliscina	Pyrenopsis phylliscina
Synalissa polycocca	Pyrenopsis polycocca
Synechoblastus cyrtaspis	Enchylium conglomeratum
Synechoblastus flaccidus	Collema flaccidum
Synechoblastus leptaleus	Collema leptaleum
Synechoblastus microptychius	Collema leptaleum
Synechoblastus nigrescens	Collema nigrescens
Synechoblastus polycarpus	Enchylium polycarpon
Synechoblastus pycnocarpus	Enchylium conglomeratum
Synechoblastus rupestris	Collema flaccidum
Synechoblastus ryssoleus	Collema ryssoleum
Syzygospora physciacearum	Heterocephalacria physciacearum
Teloschistes candelarius	Polycauliona candelaria,
Teloschistes concolor	Candelaria concolor
Teloschistes concolor	Candelaria concolor
Teloschistes lychneus	Polycauliona candelaria,
Teloschistes parietinus	Xanthoria parietina
Teloschistes polycarpus	Polycauliona polycarpa
Tephromela aglaea	Calvitimela aglaea
Thamnolia subuliformis	T. vermicularis
Thamnolia subvermicularis	T. vermicularis
Thelenella muscorum	Chromatochlamys muscorum
Thelidium microbolum	T. fontigenum
Thelocarpon epilithellum	T. laureri
Thelocarpon majusculum	T. laureri
Thelocarpon prasinellum	T. laureri
Thelotrema lepadodes	Leptotrema lepadodes
Thelotrema monosporum	T. monospermum
THELOSCHISTES Th.Fr.	TELOSCHISTES Norman
Thrombium thelostoma	Pyrenocarpon thelostomum
Thyrea demangeonii	Phylliscum demangeonii
Thyrea pulvinata	T. confusa
Toninia coeruleonigricans	Thalloidima sedifolium
Toninia sedifolia	Thalloidima sedifolium
Trachylia stigonella	Sphinctrina turbinata
Trachylia tigillaris	Calicium tigillare
Trapelia involuta	T. glebulosa
Trapelia ornata	Trapelia involuta
Trichothelium chloroticum	Pseudosagedia chlorotica
Trypethelium virens	Viridothelium virens
Tuckermannopsis aurescens	Ahtiana aurescens
Tuckermannopsis canadensis	Vulpicida canadensis,
Tuckermannopsis halei	T. americana
Tuckermannopsis juniperina	Vulpicida juniperina,
Tuckermannopsis oakesiana	Usnocetraria oakesiana
Tuckermannopsis pinastri	Vulpicida pinastri
Tuckermannopsis platyphylla	Vulpicida platyphylla,
Tuckermannopsis viridis	Vulpicida viridis
Umbilicaria dillenii	U. mammulata
Umbilicaria erosa	U. torrefacta
Umbilicaria exasperata	U. proboscidea
Umbilicaria flocculosa	U. deusta
Umbilicaria nylanderiana	Gyrophora nylanderiana
Umbilicaria papulosa	Lasallia papulosa
Umbilicaria pensylvanica	Lasallia pensylvanica
Umbilicaria pustulata	Lasallia pustulata,
Umbilicaria pustulata	Lasallia papulosa
Urceolaria scruposa	Diploschistes scruposus
Usnea arizonica	U. intermedia,
Usnea barbata	U. dasopoga
Usnea barbata	Usnea ceratina
Usnea chaetophora	U. dasopoga
Usnea comosa	U. subfloridana
Usnea dasypoga	U. dasopoga
Usnea diplotypa	U. diplotypus
Usnea diplotypus	U. dasopoga
Usnea evansii	U. strigosa
Usnea filipendula	U. dasopoga
Usnea florida	Usnea hirta
Usnea hesperina	U. subgracilis
Usnea lapponica	U. perplexans
Usnea longissima	Dolichousnea longissima
Usnea madeirensis	U. silesiaca
Usnea pachyclada	U. ceratina
Usnea pensylvanica	U. rubicunda
Usnea retifera	U. intermedia
Usnea rubiginea	U. strigosa
Usnea scabrata	U. barbata
Usnea schadenbergiana	U. subgracilis
Usnea sorediifera	U. glabrata,
Usnea sorediifera	U. substerilis,
Usnea tristis	U. strigosa
Usnea variolosa	U. hirta
Usnea wirthii	U. flavocardia
Variolaria amara	Lepra amara
Variolaria multipunctoides	Lepra multipunctoides
Variolaria ophthalmiza	Lepra ophthalmiza
Variolaria pustulata	Lepra pustulata
Variolaria trachythallina	Lepra trachythallina
Verrucaria amphibia	Hydropunctaria amphibia
Verrucaria calciseda	Bagliettoa calciseda
Verrucaria consequella	Arthopyrenia consequella,
Verrucaria diffractella	Willeya diffractella
Verrucaria distans	Anisomeridium distans
Verrucaria epigaea	Thrombium epigaeum
Verrucaria foveolata	V. dolomitica
Verrucaria fuscella	Placopyrenium fuscellum
Verrucaria glaucina	V. caerulea,
Verrucaria laevata	V. aethiobola
Verrucaria maura	Hydropunctaria maura
Verrucaria mauroides	V. viridula
Verrucaria microspora	V. halizoa
Verrucaria microspora	Wahlenbergiella striatula,
Verrucaria mucosa	Wahlenbergiella mucosa
Verrucaria papillosa	V. viridula
Verrucaria punctiformis	Naetrocybe punctiformis
Verrucaria striatula	Wahlenbergiella striatula
Verrucaria submersa	V. submersella
Verrucaria virens	V. glaucovirens
Xanthoparmelia arseneana	X. novomexicana
Xanthoparmelia centrifuga	Arctoparmelia centrifuga
Xanthoparmelia hypopsila	misidentification for
Xanthoparmelia incurva	Arctoparmelia incurva
Xanthoparmelia somloënsis	X. stenophylla,
Xanthoria candelaria	Polycauliona candelaria,
Xanthoria elegans	Rusavskia elegans
Xanthoria fallax	Xanthomendoza fallax
Xanthoria fulva	Xanthomendoza fulva,
Xanthoria hasseana	Xanthomendoza hasseana
Xanthoria lychnea	Polycauliona candelaria
Xanthoria papillifera	Rusavskia papillifera
Xanthoria polycarpa	Polycauliona polycarpa
Xanthoria sorediata	Rusavskia sorediata
Xanthoria ulophyllodes	Xanthomendoza ulophyllodes
Xanthoria weberi	Xanthomendoza weberi
Xylographa abietina	X. parallela
Alectoria chalybeiformis	B. fuscescens,
Biatora mollis	Fuscidea mollis
Biatora rivulosa	Fuscidea cyathoides,
Biatorina intermixta	Megalaria intermixta
Pseudocyphellaria perpetua	P. hawaiiensis,
Ramalina subamplicata	Ramalina calicaris
