Abrothallus usneae						Abrothallus.usneae
Lecanora gibbosula						Lecanora.gibbosula
Lecanora pallida						Lecanora.pallida
Lecanora ramulicola						Lecanora.ramulicola
Lecanora rugosella						Lecanora.rugosella
Lecanora saxicola						Lecanora.saxicola
Lecanora subfusca						Lecanora.subfusca
Lecanora subpallida						Lecanora.subpallida
Lecanora tartarea						Lecanora.tartarea
Lecanora umbrina						Lecanora.umbrina
Lecanora varia							Lecanora.varia
Lecanora verrucosa						Lecanora.verrucosa
Lecidea albocaerulescens					Lecidea.albocaerulescens
Lecidea albohyalina						Lecidea.albohyalina
Lecidea atrobrunnea						Lecidea.atrobrunnea
Lecidea berengeriana						Lecidea.berengeriana
Lecidea fusca							Lecidea.fusca
Lecidea lapicida						Lecidea.lapicida
Lecidea latypea							Lecidea.latypea
Lecidea lurida							Lecidea.lurida
Lecidea myriocarpoides						Lecidea.myriocarpoides
Lecidea platycarpa						Lecidea.platycarpa
Lecidea uliginosa						Lecidea.uliginosa
Lecidella enteroleuca						Lecidella.enteroleuca
Lepraria aeruginosa						Lepraria.aeruginosa
Lepraria zonata							Lepraria.zonata
Leptogium chloromelum						Leptogium.chloromelum
Leptogium crenatellum						Leptogium.crenatellum
Leptogium dactylinum						Leptogium.dactylinum
Leptogium subtile						Leptogium.subtile
Letharia vulpina						Letharia.vulpina
Lichenodiplis pertusariicola					Lichenodiplis.pertusariicola
Llimoniella neglecta						Llimoniella.neglecta
Melanelia glabra						Melanelia.glabra
Melanophloea americana						Melanophloea.americana
Melaspilea arthonioides						Melaspilea.arthonioides
Melaspilea proximella						Melaspilea.proximella
Micarea bauschiana						Micarea.bauschiana
Microthelia oblongata						Microthelia.oblongata
Microthelia willeyana						Microthelia.willeyana
Miriquidica griseoatra						Miriquidica.griseoatra
Mycomicrothelia willeyana					Mycomicrothelia.willeyana
Neofuscelia pulla						Neofuscelia.pulla
Neofuscelia verruculifera					Neofuscelia.verruculifera
Nephroma helveticum						Nephroma.helveticum
Nephroma laevigatum						Nephroma.laevigatum
Nesolechia cladoniscum						Nesolechia.cladoniscum
Ochrolechia frigida						Ochrolechia.frigida
Ochrolechia pallescens						Ochrolechia.pallescens
Ochrolechia subviridis						Ochrolechia.subviridis
Opegrapha atra							Opegrapha.atra
Opegrapha varia							Opegrapha.varia
Pannaria rubiginosa						Pannaria.rubiginosa
Parmelia borreri						Parmelia.borreri
Parmelia centrifuga						Parmelia.centrifuga
Parmelia conspersa						Parmelia.conspersa
Parmelia cristifera						Parmelia.cristifera
Parmelia furfuracea						Parmelia.furfuracea
Parmelia obscura						Parmelia.obscura
Parmelia olivacea						Parmelia.olivacea
Parmelia omphalodes						Parmelia.omphalodes
Parmelia perforata						Parmelia.perforata
Parmelia pertusa						Parmelia.pertusa
Parmelia physodes						Parmelia.physodes
Parmelia saxatilis						Parmelia.saxatilis
Parmeliopsis placorodia						Parmeliopsis.placorodia
Parmentaria ravenelii						Parmentaria.ravenelii
Peltigera aphthosa						Peltigera.aphthosa
Peltigera canina						Peltigera.canina
Peltigera didactyla						Peltigera.didactyla
Peltigera horizontalis						Peltigera.horizontalis
Peltigera polydactyla						Peltigera.polydactyla
Peltigera sorediata						Peltigera.sorediata
Peltigera spuria						Peltigera.spuria
Pertusaria amara						Pertusaria.amara
Pertusaria multipuncta						Pertusaria.multipuncta
Pertusaria ophthalmiza						Pertusaria.ophthalmiza
Physcia aipolia							Physcia.aipolia
Physcia aquila							Physcia.aquila
Physcia ciliata							Physcia.ciliata
Physcia detersa							Physcia.detersa
Physcia hispidula						Physcia.hispidula
Physcia obscura							Physcia.obscura
Physcia picta							Physcia.picta
Physcia speciosa						Physcia.speciosa
Physcia stellaris						Physcia.stellaris
Physcia tribacoides						Physcia.tribacoides
Pilophorus cereolus						Pilophorus.cereolus
Placodium cerinum						Placodium.cerinum
Placodium pyraceum						Placodium.pyraceum
Plagiocarpa hyalospora						Plagiocarpa.hyalospora
Polysporina lapponica						Polysporina.lapponica
Porina chlorotica						Porina.chlorotica
Porina faginea							Porina.faginea
Porina olivacea							Porina.olivacea
Porina pulla							Porina.pulla
Protoblastenia rupestris					Protoblastenia.rupestris
Pseudocyphellaria anthraspis					Pseudocyphellaria.anthraspis
Punctelia subrudecta						Punctelia.subrudecta
Pyrenocollema halodytes						Pyrenocollema.halodytes
Pyrenocollema sublitorale					Pyrenocollema.sublitorale
Pyrenopsis corallina						Pyrenopsis.corallina
Pyrenopsis phylliscina						Pyrenopsis.phylliscina
Pyxine cocoes							Pyxine.cocoes
Pyxine sorediata						Pyxine.sorediata
Ramalina hypoprotocetrarica					Ramalina.hypoprotocetrarica
Ramalina minuscula						Ramalina.minuscula
Ramalina pollinaria						Ramalina.pollinaria
Ramalina pusilla						Ramalina.pusilla
Rhizocarpon disporum						Rhizocarpon.disporum
Rhizocarpon infernulum						Rhizocarpon.infernulum
Rhizocarpon obscuratum						Rhizocarpon.obscuratum
Rhizocarpon plicatile						Rhizocarpon.plicatile
Rinodina applanata						Rinodina.applanata
Rinodina marysvillensis						Rinodina.marysvillensis
Rinodina sophodes						Rinodina.sophodes
Rinodina turfacea						Rinodina.turfacea
Sarcosagium campestre						Sarcosagium.campestre
Sarea difformis							Sarea.difformis
Sarea resinae							Sarea.resinae
Schaereria cinereorufa						Schaereria.cinereorufa
Schaereria fuscocinerea						Schaereria.fuscocinerea
Schismatomma glaucescens					Schismatomma.glaucescens
Schismatomma pericleum						Schismatomma.pericleum
Solorina saccata						Solorina.saccata
Sphaerophorus globosus						Sphaerophorus.globosus
Staurothele catalepta						Staurothele.catalepta
Stenocybe byssacea						Stenocybe.byssacea
Stereocaulon tomentosum						Stereocaulon.tomentosum
Teloschistes parietinus						Teloschistes.parietinus
Thamnolia vermicularis						Thamnolia.vermicularis
Trapelia involuta						Trapelia.involuta
Tuckermannopsis aurescens					Tuckermannopsis.aurescens
Tuckermannopsis fendleri					Tuckermannopsis.fendleri
Tuckermannopsis juniperina					Tuckermannopsis.juniperina
Tuckermannopsis oakesiana					Tuckermannopsis.oakesiana
Tuckermannopsis pinastri					Tuckermannopsis.pinastri
Umbilicaria caroliniana						Umbilicaria.caroliniana
Umbilicaria dillenii						Umbilicaria.dillenii
Umbilicaria hirsuta						Umbilicaria.hirsuta
Umbilicaria muhlenbergii					Umbilicaria.muhlenbergii
Umbilicaria proboscidea						Umbilicaria.proboscidea
Umbilicaria pustulata						Umbilicaria.pustulata
Usnea articulata						Usnea.articulata
Usnea barbata							Usnea.barbata
Usnea cornuta							Usnea.cornuta
Usnea diplotypus						Usnea.diplotypus
Usnea filipendula						Usnea.filipendula
Usnea longissima						Usnea.longissima
Usnea perplexans						Usnea.perplexans
Usnea plicata							Usnea.plicata
Usnea substerilis						Usnea.substerilis
Verrucaria maura						Verrucaria.maura
Xanthoparmelia tasmanica					Xanthoparmelia.tasmanica
Xanthoria polycarpa						Xanthoria.polycarpa
